seqID,No.,pedon_ID,location_name,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no,DNA.extract,DNA.conc,DNA.volume,total.DNA.ug.per.g,project,data
B084,61,14,Spearfish,c,D,M,X,44.45069,-103.86455,1306,7.38,559,0.296,great plains,alfisol,shrubs,temperate deciduous forest,udic,frigid,south dakota,vanocker,"184,487","ponderosa pine with lesser amounts of aspen, birch, and bur oak. Understory species include Kentucky bluegrass, needlegrass, timber oatgrass, roughleaf ricegrass, and little bluestem. Shrubs include bearberry, oregon-grape, common juniper, buffaloberry, and snowberry","Loamy-skeletal, mixed, superactive, frigid Inceptic Hapludalfs",61,IS_3,56,100,22.4,national soils,B084
B085,62,15,Twisted Cedar,c,D,N,W,44.13849,-104.59112,1306,6.93,386,0.2,mountain west,aridisol,shrubs,arid grassland,ustic,mesic,wyoming,savageton,"122,219","western wheatgrass, sedge, blue grama, cactus","Fine, montmorillonitic, mesic Ustic Haplocambids",62,IS_3,2.1,100,0.84,national soils,B085
B086,63,16,Tensleep,c,D,N,W,44.05055,-107.43088,1409,7.24,304,0.151,mountain west,entisol,shrubs,arid grassland,ustic,mesic,wyoming,neville,"100,948","sagebrush, cactus, blue grama, needleandthread","Fine-loamy, mixed (calcareous), mesic Ustic Torriorthents",63,IS_3,1.6,100,0.64,national soils,B086
B087,64,17,Grab Bag,c,E,N,X,45.5529,-107.34871,972,7.58,411,0.208,mountain west,entisol,grasses,arid grassland,ustic,frigid,montana,lismas,"631,353","western wheatgrass, green needlegrass, sideoats gram","Clayey, montmorillonitic (calcareous), nonacid, frigid, shallow Ustic Torriorthents",64,IS_3,5.9,100,2.36,national soils,B087
B088,65,18,Potosi,c,B,M,Y,45.57203,-111.91427,1907,3.44,428,0.276,mountain west,inceptisol,coniferous forest,temperate coniferous forest,udic,cryic,montana,como,"512,784","Douglas-fir, subalpine fir, lodgepole pine, huckleberry, grouse whortleberry, snowberry, buffaloberry, heartleaf arnica, western meadowrue, grasses, forbs","Sandy-skeletal, mixed Typic Haplocryepts",65,IS_3,11.5,100,4.6,national soils,B088
B090,66,20,Clearwater,c,B,M,X,46.51269,-114.76499,1131,6.25,236,0.157,mountain west,andisol,coniferous forest,temperate coniferous forest,udic,frigid,idaho,typic vitrandepts,,,"Ashy over loamy-skeletal, amorphic over isotic, frigid Typic Udivitrands",66,IS_3,63.5,100,25.4,national soils,B090
B092,67,22,Disappointment,c,B,M,W,46.30717,-124.06658,30,10.38,2082,1.826,pacific coast,andisol,coniferous forest,temperate coniferous forest,udic,mesic,washington,Ilwaco,"20,567","western hemlock, Sitka spruce, western red cedar, and red alder. Understory species are salal, oxalis, swordfern, red huckleberry, salmonberry, blackberry, red elderberry, and vine maple","Medial, ferrihydritic, isomesic Typic Fulvudands",67,IS_3,39.5,100,15.8,national soils,B092
B094,68,24,Siuslaw,c,B,M,X,44.48822,-123.53664,733,8.72,2757,2.101,pacific coast,andisol,coniferous forest,temperate deciduous forest,udic,frigid,oregon,caterl,"62,971","Douglas fir, western hemlock, red alder, red and evergreen huckleberry, vine maple, western swordfern, cascade Oregongrape, Oregon oxalis, and salal","Medial-skeletal, ferrihydritic, frigid Alic Hapludands",68,IS_3,2.5,100,1,national soils,B094
B097,69,28,El Dorado,c,B,O,X,38.80521,-120.10219,1997,5.8,911,0.464,pacific coast,inceptisol,coniferous forest,temperate deciduous forest,xeric,frigid,california,gerle,"187,468","red fir, white fir, Jeffrey pine, lodgepole pine, sugar pine, incense-cedar, chinquapin, huckleberry oak, gooseberry, whitethorn, brackenfern and lupine","Coarse-loamy, mixed, frigid Typic Xerumbrepts",69,LL_3,1.9,100,0.76,national soils,B097
B098,70,29,Merklee,c,D,O,X,38.66673,-119.66681,2202,5.86,561,0.265,pacific coast,mollisol,shrubs,temperate grassland,xeric,frigid,california,heenlake,"20,459","big sagebrush, antelope bitterbrush, and western needlegrass","Loamy-skeletal, mixed, superactive, frigid Typic Argixerolls",70,LL_3,5.3,100,2.12,national soils,B098
