"","Solenns_id","unique_ID","Ca_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Mn_ppm","Al_ppm","soil_weight_g","toc_dilution","npoc_ppm","rep","pedon_ID","horizon","mean_DOC_wet","mean_DN_wet","mean_MBC_wet","mean_MBN_wet"
"110",165,124,6.197,2.183,0.9315,0.3254,9.857,0.8148,6.039,0.5149,5,4.1,1,58,"c",0.014130585162779,NA,0.0198468946995922,0.001768172615362
"111",166,57,7.47,1.678,0.9543,0.5638,29.86,2.822,10.75,0.4948,4,32.3,1,59,"a",0.023212484817916,0.0169383441441644,0.31921283149361,0.0571937623517861
"112",169,125,1.284,1.752,0.5023,0.8617,27.83,2.309,10.81,0.5096,2,15.7,1,59,"c",0.0118215209993721,NA,0.01979927613889,0.00229299793109941
"113",170,58,24.37,1.36,0.7283,0.3337,13.69,0.9583,15.11,0.5034,12,16.6,1,60,"a",0.0165099202463932,0.00320495110932217,0.109939835571206,0.0192773449552909
"114",171,126,9.654,2.08,0.6498,0.3422,11.09,0.6992,6.8,0.5037,2,13.9,1,60,"c",NA,NA,NA,NA
"115",172,59,15.51,4.477,1.243,1.271,14.19,0.1544,10.87,0.4923,4,24.1,1,61,"a",0.0362782728412165,0.00789271768139106,0.2793386127801,0.0489785365005916
"116",174,127,14.19,5.191,1.706,1.243,24.68,0.469,10.78,0.5014,2,13.5,1,61,"c",0.00462107612587193,0.000771904471460079,0.00910776197340936,0.000772316791577067
"117",175,60,1.082,0.3036,0.6816,0.2871,18.82,0.3346,12.32,0.4994,12,20.7,1,62,"a",0.054672379889523,0.00343309222295223,0.282902538320589,0.0349682904440589
"118",177,128,1.335,0.6398,0.5547,0.2622,9.371,0.0943,21.76,0.5071,12,23.4,1,62,"c",0.0305854378478304,0.00222052511628003,0.0429372573660112,0.0035046681030295
"119",178,61,0.7736,0.4943,0.5985,0.2738,31.73,0.4913,19.46,0.5094,12,31.6,1,63,"a",0.0481215894994567,0.00681777992774822,0.199180541339846,0.032650721122493
"120",180,129,1.327,0.8077,0.6264,0.3018,19.97,0.3013,40.62,0.5079,10,38.8,1,63,"c",NA,NA,0.118066313315955,0.0169005486363159
"121",181,62,35.65,2.568,2.048,0.7174,15.01,5.962,18.73,0.5001,10,52.5,1,64,"a",NA,NA,0.487611424029503,0.0646502909132537
"122",183,130,6.414,0.9137,1.622,0.4018,22.29,2.67,56.92,0.5012,5,29.2,1,64,"c",NA,NA,NA,NA
"123",184,63,15.56,3.234,3.612,0.4438,35.08,7.198,28.53,0.4934,4,25.3,1,65,"a",NA,NA,NA,NA
