unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g,coarse_fraction_g,fine_fraction_g,recovery_percent,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio
57,59,a,1,8.448,6.832,8.234,14.003,NA,21.182,NA,14.003,21.182,1.4020000000000001,7.1789999999999985,101.57433712121211,0.1659564393939394,0.8497869318181815,5.120542082738943
58,60,a,1,7.665,6.627,9.1,13.967,NA,19.22,NA,13.967,19.22,2.473,5.252999999999998,100.79582517938678,0.32263535551206785,0.6853228962818002,2.124140719773554
59,61,a,1,8.562,6.905,13.632,13.907,NA,15.566,NA,13.907,15.566,6.726999999999999,1.6590000000000007,97.94440551273067,0.785680915673908,0.19376313945339885,0.24661810613943821
60,62,a,1,8.861,6.887,13.676,11.874,NA,14.067,NA,11.874,14.067,6.789000000000001,2.1929999999999996,101.36553436406726,0.7661663469134409,0.24748899672723162,0.32302253645603174
61,63,a,1,8.644,6.955,12.803,11.871,NA,14.714,NA,11.871,14.714,5.848000000000001,2.843,100.54372975474317,0.6765386395187414,0.3288986580286904,0.4861491108071135
62,64,a,1,9.066,6.775,9.997,13.776,NA,19.847,NA,13.776,19.847,3.2219999999999995,6.0710000000000015,102.50386057798369,0.35539377895433477,0.669644826825502,1.8842333954065806
63,65,a,1,9.112,6.868,11.858,11.772,NA,16.067,NA,11.772,16.067,4.99,4.295,101.89859525899911,0.5476294995610185,0.4713564530289728,0.8607214428857715
64,66,a,1,10.032,6.78,13.664,6.777,NA,9.951,NA,6.777,9.951,6.8839999999999995,3.1740000000000004,100.2591706539075,0.6862041467304625,0.3163875598086125,0.4610691458454388
65,67,a,1,8.904,6.905,9.88,11.892,NA,18.14,NA,11.892,18.14,2.9750000000000005,6.248000000000001,103.58265947888592,0.334119496855346,0.7017070979335132,2.1001680672268908
66,68,a,1,3.03,6.866,9.529,13.989,NA,14.503,NA,13.989,14.503,2.6630000000000003,0.5139999999999993,104.85148514851485,0.8788778877887791,0.16963696369636944,0.19301539616973312
67,69,a,1,6.964,6.853,12.1,14.151,NA,15.93,NA,14.151,15.93,5.247,1.779,100.89029293509478,0.7534462952326249,0.25545663411832276,0.3390508862206975
68,70,a,1,1.604,6.797,7.96,14.029,NA,14.61,NA,14.029,14.61,1.1630000000000003,0.5809999999999995,108.72817955112217,0.725062344139651,0.36221945137157074,0.49957007738606996
69,71,a,1,4.006,14.139,16.638,13.936,NA,15.469,NA,13.936,15.469,2.4990000000000023,1.5329999999999995,100.64902646030957,0.6238142785821273,0.3826759860209684,0.6134453781512598
70,72,a,1,1.501,7.056,8.062,11.774,NA,12.233,NA,11.774,12.233,1.0059999999999993,0.4590000000000014,97.60159893404403,0.6702198534310456,0.3057961359093947,0.45626242544731777
71,73,a,1,2.346,6.915,7.733,13.904,NA,15.55,NA,13.904,15.55,0.8179999999999996,1.6460000000000008,105.02983802216541,0.3486786018755326,0.7016197783461213,2.0122249388753075
72,2,c,1,10.035,6.868,9.0452,13.762,NA,21.572,NA,13.762,21.572,2.177199999999999,7.809999999999999,99.52366716492274,0.21696063776781258,0.7782760338814149,3.5871761896013235
73,3,c,1,10.046,6.884,10.559,6.904,NA,13.338,NA,6.904,13.338,3.674999999999999,6.433999999999999,100.62711526975909,0.36581724069281296,0.640453912004778,1.7507482993197283
74,4,c,1,10.033,7.011,10.484,7.117,NA,13.414,NA,7.117,13.414,3.473,6.297,97.37865045350344,0.34615767965713146,0.627628824877903,1.8131298589116038
75,5,c,1,10.038,6.997,8.621,6.861,NA,15.303,NA,6.861,15.303,1.6240000000000006,8.442,100.27894002789401,0.16178521617852168,0.8410041841004184,5.1982758620689635
76,6,c,1,9.534,6.592,7.085,13.903,NA,22.986,NA,13.903,22.986,0.4930000000000003,9.083,100.44052863436124,0.05170967065240196,0.9526956156912103,18.42393509127788
77,7,c,1,10.025,6.852,16.545,11.819,NA,12.223,NA,11.819,12.223,9.693000000000001,0.4039999999999999,100.71820448877806,0.9668827930174565,0.04029925187032418,0.04167956257092746
78,8,c,1,10.027,13.934,22.018,13.743,NA,15.705,NA,13.743,15.705,8.084000000000001,1.9619999999999997,100.18948838137032,0.806223197367109,0.1956716864465942,0.2427016328550222
79,9,c,1,10.017,6.949,9.992,6.833,NA,13.764,NA,6.833,13.764,3.043000000000001,6.930999999999999,99.57072975940902,0.30378356793451144,0.6919237296595787,2.2776864935918493
80,11,c,1,9.366,6.808,7.431,11.845,NA,20.611,NA,11.845,20.611,0.6230000000000002,8.766,100.24556907964978,0.06651718983557552,0.9359385009609226,14.070626003210268
81,12,c,1,10.007,6.81,9.013,13.702,NA,21.082,NA,13.702,21.082,2.2030000000000003,7.380000000000001,95.76296592385333,0.22014589787149,0.7374837613670432,3.349977303676804
82,14,c,1,10.021,6.686,13.591,13.728,NA,16.811,NA,13.728,16.811,6.904999999999999,3.083,99.67069154774971,0.6890529887236801,0.307653926753817,0.4464880521361333
83,15,c,1,10.02,11.74,14.116,11.944,NA,19.472,NA,11.944,19.472,2.3759999999999994,7.5280000000000005,98.84231536926148,0.23712574850299398,0.7512974051896208,3.168350168350169
84,16,c,1,10.004,6.877,9.293,6.821,NA,14.326,NA,6.821,14.326,2.4159999999999995,7.505000000000001,99.1703318672531,0.24150339864054374,0.7501999200319873,3.1063741721854314
85,17,c,1,10.029,13.915,14.452,14.025,NA,23.249,NA,14.025,23.249,0.5370000000000008,9.223999999999998,97.32774952637351,0.053544720311097894,0.9197327749526372,17.17690875232772
86,18,c,1,10.004,6.969,13.911,13.799,NA,16.98,NA,13.799,16.98,6.941999999999999,3.181000000000001,101.18952419032388,0.6939224310275889,0.3179728108756498,0.4582252953039472
87,19,c,1,10.017,6.479,12.33,6.657,NA,10.901,NA,6.657,10.901,5.851,4.244,100.77867625037436,0.5841070180692822,0.42367974443446144,0.7253460946846693
88,20,c,1,10.035,6.98,13.617,13.989,NA,16.931,NA,13.989,16.931,6.6370000000000005,2.942,95.4559043348281,0.6613851519681117,0.2931738913801694,0.4432725629049269
89,21,c,1,9.179,6.904,13.32,11.775,NA,14.76,NA,11.775,14.76,6.416,2.9849999999999994,102.41856411373786,0.6989868177361368,0.3251988234012419,0.46524314214463836
90,22,c,1,8.725,6.844,9.942,13.712,NA,19.444,NA,13.712,19.444,3.098,5.731999999999999,101.20343839541546,0.35507163323782237,0.6569627507163324,1.8502259522272433
91,23,c,1,8.915,6.778,13.81,12.036,NA,14.145,NA,12.036,14.145,7.032000000000001,2.109,102.53505328098713,0.788782950084128,0.23656758272574316,0.2999146757679181
92,24,c,1,8.862,6.926,11.425,13.794,NA,18.118,NA,13.794,18.118,4.4990000000000006,4.323999999999998,99.55991875423153,0.5076732114646807,0.4879259760776346,0.9611024672149361
93,25,c,1,9.265,6.881,8.984,13.878,NA,21.131,NA,13.878,21.131,2.1029999999999998,7.253,100.98219104155423,0.2269832703723691,0.7828386400431732,3.4488825487398955
94,27,c,1,9.36,6.858,12.601,14.055,NA,17.822,NA,14.055,17.822,5.743000000000001,3.7669999999999995,101.60256410256412,0.6135683760683762,0.4024572649572649,0.6559289569911194
