Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep,pedon_ID,horizon,HH_DOC_ppm,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al
190,131,19.61,3.894,2.202,0.5846,33.33,8.231,21.55,0.5155,2,29.9,1,67,c,59.8,1.1600387972841901,6.46556741028128,4.180407371483997,10.645974781765277
191,66,18.67,1.601,2.044,0.5102,7.299,1.039,3.286,0.2545,4,54.9,1,68,a,219.6,8.6286836935167,2.8679764243614936,1.2911591355599215,4.159135559921415
192,132,1.336,0.5966,0.7344,0.3442,53.82,0.3136,11.36,0.4905,12,25.3,1,68,c,303.6,6.189602446483182,10.972477064220184,2.316004077471967,13.288481141692152
193,67,91.11,4.39,1.978,0.737,18.65,3.41,8.451,0.4924,10,43.7,1,69,a,437,8.874898456539398,3.787571080422421,1.7162875710804226,5.503858651502844
194,133,5.22,2.661,0.7022,0,31.87,1.362,15.07,0.5174,4,45.1,1,69,c,180.4,3.486664089679165,6.159644375724778,2.9126401236954,9.072284499420178
195,68,125.8,4.182,1.052,0.6807,15.91,2.119,7.68,0.4986,10,36.6,1,70,a,366,7.340553549939832,3.1909346169273967,1.5403128760529483,4.731247492980345
196,69,75.25,6.719,1.761,0.4176,19.75,1.343,8.699,0.4933,4,60.9,1,71,a,243.6,4.938171498074194,4.003648895195622,1.763429961483884,5.767078856679506
197,134,13.45,2.325,0.3724,0.0566,29.4,2.089,9.178,0.4995,5,14.6,1,71,c,73,1.4614614614614614,5.885885885885886,1.8374374374374376,7.723323323323323
198,70,30.84,8.861,1.03,0.5203,49.92,12.3,18.98,0.2497,4,59.2,1,72,a,236.8,9.483380056067281,19.991990388466164,7.601121345614738,27.5931117340809
200,71,30.6,7.517,0.9341,0.2236,48.67,12.95,18.72,0.5,10,22.3,1,73,a,223,4.46,9.734000000000002,3.7439999999999998,13.478000000000002
